fighter,mma_record,height,weight,reach,stance,dob,sig_str_per_min,sig_str_acc,sig_str_absorbed_per_min,sig_str_def,td_avg,td_acc,td_def,sub_avg
Anderson Dos Santos,Record: 21-9-0,165.1,Bantamweight,177.8,Orthodox,1985-07-24,2.70,25%,5.37,49%,0.98,14%,66%,0.7
Anderson Silva,Record: 34-11-0 (1 NC),188.0,Middleweight,195.6,Southpaw,1975-04-14,3.05,61%,2.05,60%,0.50,77%,69%,0.8
Andre Amado,Record: 6-4-1,182.9,Lightweight,,Orthodox,,2.27,24%,5.91,63%,0.00,0%,20%,0.0
Andre Ewell,Record: 17-9-0,172.7,Featherweight,190.5,Southpaw,1988-01-21,4.28,40%,4.87,51%,0.36,75%,72%,0.1
Andre Fialho,Record: 16-7-0 (1 NC),182.9,Welterweight,188.0,Orthodox,1994-04-07,3.02,39%,5.59,50%,0.00,0%,60%,0.0
Andre Fili,Record: 22-9-0 (1 NC),180.3,Featherweight,188.0,Orthodox,1990-06-25,3.83,37%,4.03,52%,2.38,49%,69%,0.3
Andre Galvao,Record: 5-2-0,170.2,Lightweight,,Orthodox,1982-09-29,2.34,52%,1.56,58%,2.02,27%,0%,2.8
Andre Gusmao,Record: 6-3-0,182.9,Lightheavyweight,,Orthodox,1977-05-19,2.79,43%,3.28,60%,0.00,0%,60%,0.0
Andre Muniz,Record: 23-5-0,185.4,Middleweight,198.1,Southpaw,1990-02-17,2.12,49%,1.74,54%,2.95,36%,41%,1.7
Andre Mussi,Record: 11-5-0,190.5,Heavyweight,,Orthodox,,0.00,0%,10.59,35%,0.00,0%,0%,0.0
Andre Pederneiras,Record: 1-1-2,172.7,Lightweight,,Orthodox,1967-03-22,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Andre Petroski,Record: 9-2-0,182.9,Middleweight,185.4,Switch,1991-06-12,3.64,55%,2.28,52%,5.43,57%,75%,3.4
Andre Roberts,Record: 14-2-1,188.0,Heavyweight,,Orthodox,1965-02-24,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Andre Santos,Record: 38-10-0,182.9,Welterweight,,,,2.77,34%,4.17,41%,2.50,29%,75%,0.0
Andre Soukhamthath,Record: 13-8-0,175.3,Bantamweight,177.8,Orthodox,1988-10-23,2.77,44%,4.31,49%,1.25,53%,58%,0.2
Andre Walker,Record: 1-5-0,180.3,Lightheavyweight,,Southpaw,,2.28,31%,4.36,34%,0.00,0%,0%,0.0
Andre Winner,Record: 21-11-2,180.3,Lightweight,185.4,Orthodox,1981-11-09,2.52,33%,4.57,51%,0.00,0%,74%,0.0
Andrea Lee,Record: 13-7-0,167.6,Flyweight,175.3,Orthodox,1989-02-11,5.13,48%,3.59,64%,2.04,57%,54%,0.6
Andreas Michailidis,Record: 13-6-0,182.9,Welterweight,193.0,Orthodox,1988-07-18,2.90,51%,3.57,44%,1.12,27%,50%,0.0
Andreas Spang,Record: 9-3-0,185.4,Middleweight,,,1978-11-07,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Andreas Stahl,Record: 10-4-0,180.3,Welterweight,,Orthodox,1988-05-20,2.83,37%,4.74,57%,1.55,66%,80%,0.0
Andrei Arlovski,Record: 34-22-0 (2 NC),190.5,Heavyweight,195.6,Orthodox,1979-02-04,3.78,45%,3.20,57%,0.39,36%,76%,0.2
Andrei Kopylov,Record: 6-11-0,188.0,Heavyweight,,Orthodox,1965-07-16,0.33,66%,4.31,40%,0.00,0%,0%,0.0
Andrei Semenov,Record: 34-9-2,182.9,Middleweight,,Orthodox,1977-06-17,0.78,15%,2.44,60%,1.74,80%,55%,0.4
Andrew Craig,Record: 9-4-0,185.4,Welterweight,193.0,Orthodox,1986-01-15,2.39,40%,3.01,50%,0.53,37%,72%,0.0
Andrew Holbrook,Record: 12-3-0,180.3,Lightweight,177.8,Southpaw,1986-02-06,2.20,49%,3.00,54%,0.85,18%,10%,2.1
Andrew Martinez,Record: 9-6-0,175.3,Lightheavyweight,,,,3.40,31%,2.30,47%,1.50,50%,0%,0.0
Andrew Montanez,Record: 9-12-1,,Middleweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Andrew Ramm,Record: 4-4-0,185.4,Lightweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Andrew Sanchez,Record: 13-7-0,185.4,Middleweight,188.0,Orthodox,1988-04-08,4.30,43%,5.10,50%,2.55,36%,100%,0.0
Andrew Todhunter,Record: 8-0-0,182.9,Middleweight,,Switch,1987-11-30,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Andrew Valladerez,Record: 5-7-0,,Bantamweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Andrews Nakahara,Record: 5-4-2,185.4,Middleweight,,Orthodox,1983-03-12,2.68,44%,1.90,57%,0.00,0%,72%,0.4
Andrey Koreshkov,Record: 19-2-0,182.9,Welterweight,,,1990-08-23,2.84,39%,1.92,63%,4.80,53%,0%,0.0
Andy Anderson,Record: 0-1-0,167.6,Heavyweight,,,1974-07-16,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Andy Enz,Record: 10-4-0,190.5,Middleweight,198.1,Orthodox,1991-08-15,3.51,23%,5.32,57%,0.00,0%,58%,0.0
Andy Murad,Record: 15-2-0,175.3,Middleweight,,,,2.60,76%,2.87,32%,1.00,20%,42%,0.0
Andy Ogle,Record: 9-6-0,172.7,Featherweight,175.3,Orthodox,1989-02-16,2.24,44%,2.23,50%,1.44,26%,58%,0.0
Andy Ologun,Record: 3-1-0,182.9,Lightweight,,Orthodox,1983-06-12,2.36,57%,0.32,85%,0.68,100%,80%,0.0
Andy Uhrich,Record: 11-6-0,182.9,Welterweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Andy Wang,Record: 7-8-1 (1 NC),167.6,Lightweight,,Orthodox,1977-05-28,3.43,36%,10.29,62%,0.00,0%,0%,0.0
Andy Waters,Record: 1-2-0,182.9,Welterweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ange Loosa,Record: 9-3-0,177.8,Welterweight,188.0,Orthodox,1993-03-18,6.24,44%,7.47,49%,1.00,30%,100%,0.3
Angel De Anda,Record: 18-6-0,175.3,Heavyweight,,Orthodox,1985-05-28,5.68,46%,6.32,47%,0.00,0%,0%,0.0
Angela Hill,Record: 15-13-0,160.0,Flyweight,162.6,Orthodox,1985-01-12,5.46,49%,4.97,61%,0.54,29%,76%,0.1
Angela Magana,Record: 11-9-0,154.9,Flyweight,165.1,Orthodox,1983-08-02,1.53,28%,4.92,42%,0.40,25%,28%,0.4
Angelo Antonio,Record: 1-4-0,,Lightheavyweight,,Orthodox,,1.09,50%,7.64,50%,0.00,0%,0%,0.0
Angelo Trevino,Record: 7-3-0,180.3,Welterweight,,Switch,1993-06-10,5.19,54%,3.90,47%,0.00,0%,100%,0.0
Angga,Record: 13-3-0,170.2,Featherweight,172.7,Orthodox,1989-01-13,3.56,38%,3.77,53%,0.00,0%,33%,0.0
Anistavio Medeiros,Record: 19-10-0,167.6,Featherweight,,Orthodox,1988-05-01,3.64,44%,5.00,47%,0.00,0%,0%,0.0
Anna Elmose,Record: 3-2-0,160.0,Flyweight,,Orthodox,1984-10-06,3.68,49%,4.64,56%,0.00,0%,33%,0.0
Ansar Chalangov,Record: 14-5-0,175.3,Welterweight,,Orthodox,1979-10-30,0.68,66%,1.69,54%,0.00,0%,0%,7.6
Anshul Jubli,Record: 7-0-0,182.9,Lightweight,175.3,Switch,1995-01-13,5.69,42%,4.80,53%,1.26,33%,60%,0.6
Ante Delija,Record: 17-3-0,193.0,Heavyweight,,Orthodox,1990-08-07,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Anthony Adams,Record: 8-2-0,185.4,Middleweight,193.0,Orthodox,1988-01-13,3.17,41%,5.93,44%,0.00,0%,0%,0.0
Anthony Alves,Record: 1-4-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Anthony Avila,Record: 13-5-0,170.2,Featherweight,,,1988-12-29,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Anthony Birchak,Record: 16-8-0,172.7,Bantamweight,175.3,Orthodox,1986-05-16,3.93,36%,3.67,56%,0.48,14%,61%,0.5
Anthony Christodoulou,Record: 12-7-0,175.3,Lightweight,,Orthodox,1987-07-30,2.19,26%,5.90,45%,0.00,0%,40%,0.0
Anthony Do,Record: 4-2-0,162.6,Flyweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Anthony Figueroa,Record: 11-8-1,162.6,Bantamweight,,Orthodox,,2.37,48%,3.77,49%,0.00,0%,58%,0.0
Anthony Hamilton,Record: 15-9-0,195.6,Heavyweight,193.0,Orthodox,1980-04-14,3.91,65%,3.02,45%,2.62,42%,78%,0.0
Anthony Hernandez,Record: 11-2-0 (1 NC),182.9,Middleweight,190.5,Orthodox,1993-10-18,4.33,62%,3.36,46%,6.79,57%,63%,2.9
Anthony Ivy,Record: 8-4-0,188.0,Middleweight,188.0,Orthodox,1990-01-23,2.50,42%,4.57,51%,4.69,20%,100%,0.0
Anthony Johnson,Record: 22-6-0,188.0,Lightheavyweight,198.1,Orthodox,1984-03-06,3.25,47%,1.83,60%,2.43,57%,77%,0.6
Anthony Lapsley,Record: 23-7-0 (2 NC),175.3,Welterweight,,Southpaw,1980-02-13,0.53,34%,0.58,66%,0.00,0%,20%,0.0
Anthony Leone,Record: 15-8-0,167.6,Bantamweight,,Orthodox,1987-05-27,1.94,53%,2.52,56%,1.72,18%,0%,0.0
Anthony Macias,Record: 26-18-0,175.3,Middleweight,,Switch,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Anthony Morrison,Record: 20-12-0 (1 NC),170.2,Featherweight,,Orthodox,1984-03-29,1.70,33%,0.49,80%,0.00,0%,50%,0.0
Anthony Njokuani,Record: 16-12-0 (1 NC),185.4,Lightweight,190.5,Orthodox,1980-03-01,3.94,46%,2.41,65%,0.50,45%,53%,0.2
Anthony Perosh,Record: 15-10-0,190.5,Lightheavyweight,190.5,Orthodox,1972-10-05,2.27,43%,3.77,53%,2.03,22%,33%,1.1
Anthony Pettis,Record: 24-10-0,177.8,Lightweight,182.9,Orthodox,1987-01-27,3.05,47%,3.44,54%,0.61,50%,60%,1.1
Anthony Rocco Martin,Record: 17-6-0,182.9,Welterweight,185.4,Orthodox,1989-12-11,2.68,37%,2.59,58%,0.71,27%,68%,1.0
Anthony Romero,Record: 8-0-0,180.3,Lightweight,177.8,Orthodox,1997-02-25,5.87,52%,4.00,65%,2.00,22%,100%,0.0
Anthony Ruiz,Record: 33-22-0,188.0,Lightheavyweight,,Orthodox,1977-11-03,2.56,64%,1.67,28%,1.43,31%,21%,0.0
Anthony Smith,Record: 36-18-0,193.0,Lightheavyweight,193.0,Orthodox,1988-07-26,2.96,47%,4.49,43%,0.48,28%,47%,0.7
Anthony Taylor,Record: 1-3-0,170.2,Featherweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Anthony Torres,Record: 5-3-0,172.7,Welterweight,,Orthodox,1978-07-31,3.54,48%,7.52,45%,0.00,0%,100%,2.2
Anton Berzin,Record: 5-1-0,188.0,Lightheavyweight,,Orthodox,1989-09-29,4.40,46%,6.80,67%,2.00,28%,0%,1.0
Anton Kuivanen,Record: 24-10-0,172.7,Lightweight,182.9,Orthodox,1984-05-01,2.27,38%,1.63,67%,1.20,100%,71%,0.4
Anton Turkalj,Record: 8-2-0,193.0,Lightheavyweight,198.1,Orthodox,1996-06-10,1.60,58%,2.18,50%,6.97,51%,16%,0.0
Anton Zafir,Record: 7-3-0,180.3,Welterweight,,Orthodox,1987-05-10,2.99,64%,2.31,52%,6.11,60%,0%,0.0
Antoni Hardonk,Record: 8-6-0,193.0,Heavyweight,198.1,Orthodox,1976-02-05,3.40,61%,3.07,46%,0.00,0%,40%,0.9
Antonina Shevchenko,Record: 10-4-0,172.7,Flyweight,170.2,Southpaw,1984-11-20,3.86,55%,2.93,52%,0.43,42%,53%,0.4
Antonio Arroyo,Record: 9-5-0,190.5,Middleweight,185.4,Orthodox,1989-07-01,2.82,66%,2.02,50%,1.14,41%,41%,0.2
Antonio Banuelos,Record: 20-11-1,165.1,Bantamweight,160.0,Orthodox,1979-09-23,2.69,33%,3.15,58%,1.62,62%,86%,0.4
Antonio Braga Neto,Record: 9-3-0 (1 NC),190.5,Middleweight,195.6,Orthodox,1987-10-29,1.36,33%,3.92,45%,3.07,37%,0%,0.5
Antonio Carlos Junior,Record: 11-5-0 (1 NC),188.0,Middleweight,200.7,Orthodox,1990-03-16,1.95,42%,2.14,52%,3.42,39%,53%,0.8
Antonio Carvalho,Record: 15-6-0,175.3,Featherweight,177.8,Orthodox,1979-05-30,3.03,29%,3.62,64%,0.00,0%,100%,0.0
Antonio Dos Santos,Record: 6-4-0,177.8,Middleweight,,Orthodox,1988-07-21,5.40,51%,3.94,43%,0.00,0%,100%,0.0
Antonio Duarte,Record: 19-7-0,170.2,Bantamweight,,,,4.55,40%,4.18,57%,0.00,0%,60%,0.0
Antonio Jones,Record: 6-1-0,180.3,Middleweight,,Orthodox,1985-04-12,7.50,55%,30.00,42%,0.00,0%,0%,0.0
Antonio McKee,Record: 29-6-2,172.7,Lightweight,,Southpaw,1970-03-12,1.37,45%,0.74,74%,1.47,33%,57%,0.0
Antonio Mendes,Record: 18-13-0,190.5,Lightheavyweight,195.6,Southpaw,1981-04-19,1.34,47%,6.85,22%,2.51,50%,100%,0.0
Antonio Rodrigo Nogueira,Record: 34-10-1 (1 NC),190.5,Heavyweight,195.6,Orthodox,1976-06-02,1.95,42%,2.40,55%,1.30,29%,36%,2.4
Antonio Schembri,Record: 5-5-0,175.3,Lightheavyweight,,Orthodox,1974-06-01,0.72,26%,2.12,55%,1.31,40%,0%,0.4
Antonio Silva,Record: 19-12-1,193.0,Heavyweight,208.3,Orthodox,1979-09-14,2.89,45%,3.09,50%,0.82,29%,66%,0.8
Antonio Trocoli,Record: 12-3-0 (1 NC),195.6,Lightheavyweight,208.3,Orthodox,1990-12-06,1.27,71%,4.56,25%,3.80,100%,100%,3.8
Antony Rea,Record: 33-15-0,182.9,Lightheavyweight,,Orthodox,1976-07-15,2.89,28%,5.42,42%,0.00,0%,100%,0.0
Antwain Britt,Record: 11-6-0,185.4,Lightheavyweight,195.6,,1978-05-09,1.46,39%,2.81,44%,1.56,40%,50%,0.0
Anvar Boynazarov,Record: 3-1-0,175.3,Featherweight,,Orthodox,1989-01-10,0.00,0%,7.83,29%,0.00,0%,0%,0.0
Anying Wang,Record: 2-1-0,182.9,Welterweight,,Orthodox,1991-04-04,1.32,26%,1.63,44%,0.00,0%,33%,0.0
Aoriqileng,Record: 24-10-0,170.2,Bantamweight,175.3,Orthodox,1993-06-25,6.04,49%,7.12,48%,1.53,45%,55%,0.0
Ariane Carnelossi,Record: 14-3-0,157.5,Flyweight,154.9,Orthodox,1992-11-17,3.04,40%,4.72,43%,1.62,55%,8%,0.3
Ariane Lipski,Record: 15-8-0,167.6,Flyweight,170.2,Orthodox,1994-01-26,3.86,39%,3.97,51%,0.47,42%,73%,0.3
Ariel Beck,Record: 4-5-0,167.6,Flyweight,167.6,Southpaw,1990-09-16,4.44,34%,4.31,64%,0.00,0%,0%,0.0
Ariel Gandulla,Record: 7-9-0 (1 NC),180.3,Lightheavyweight,,Orthodox,1968-05-07,1.95,23%,2.07,72%,1.88,66%,0%,0.0
Arjan Bhullar,Record: 9-1-0,185.4,Heavyweight,190.5,Orthodox,1986-05-13,2.33,56%,3.25,59%,1.73,75%,100%,0.0
Arlene Blencowe,Record: 9-6-0,165.1,Featherweight,,,1983-04-11,2.31,43%,2.10,43%,0.00,0%,55%,0.6
Arman Ashimov,Record: 11-3-1,167.6,Flyweight,,,1992-01-14,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Arman Tsarukyan,Record: 20-3-0,170.2,Lightweight,182.9,Orthodox,1996-10-11,3.82,48%,1.91,54%,3.43,36%,75%,0.0
Armando Villarreal,Record: 5-2-0,170.2,Bantamweight,167.6,Southpaw,1989-08-08,3.23,55%,4.30,52%,3.23,25%,0%,0.0
Armen Petrosyan,Record: 9-2-0,190.5,Middleweight,180.3,Orthodox,1990-11-02,5.97,52%,3.03,56%,0.23,33%,36%,0.0
Arnold Allen,Record: 19-2-0,172.7,Featherweight,177.8,Southpaw,1994-01-22,3.34,40%,2.86,61%,1.12,50%,76%,0.3
Art Arciniega,Record: 15-7-0,172.7,Featherweight,,,1981-10-15,1.53,46%,2.73,51%,0.00,0%,50%,1.0
Art Jimmerson,Record: 0-1-0,185.4,Middleweight,,Orthodox,1963-08-04,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Art Santore,Record: 18-8-0,188.0,Middleweight,,,1972-10-26,1.40,12%,7.31,52%,0.00,0%,100%,0.0
Artem Frolov,Record: 11-0-0,177.8,Middleweight,,,1991-09-07,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Artem Lobov,Record: 13-15-1 (1 NC),175.3,Featherweight,165.1,Southpaw,1986-08-11,3.52,41%,4.82,50%,0.39,25%,52%,0.0
Artenus Young,Record: 10-12-0,,Lightheavyweight,,,1980-07-16,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Artur Oumakhanov,Record: 9-6-0,170.2,Lightweight,,Orthodox,1979-02-27,1.20,33%,1.67,82%,3.00,75%,33%,0.0
Asbel Cancio,Record: 0-1-0,177.8,Heavyweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ashe Bowman,Record: 9-11-0,175.3,Lightweight,,,1976-11-17,2.43,42%,4.86,57%,0.00,0%,0%,0.0
Ashiek Ajim,Record: 6-2-0,172.7,Bantamweight,180.3,Switch,1994-06-19,5.00,40%,11.25,25%,0.00,0%,0%,0.0
Ashkan Mokhtarian,Record: 13-3-0,167.6,Flyweight,170.2,Southpaw,1985-09-15,1.95,43%,3.66,43%,0.54,16%,33%,0.0
Ashlee Evans-Smith,Record: 6-5-0,172.7,Bantamweight,170.2,Orthodox,1987-07-09,4.54,34%,4.69,55%,1.10,23%,66%,0.0
Ashley Yoder,Record: 8-8-0,170.2,Flyweight,175.3,Southpaw,1987-10-20,3.08,39%,3.76,47%,1.20,30%,69%,0.6
Asjabharan,Record: 7-6-0,167.6,Bantamweight,,,1992-07-31,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Askar Askar,Record: 11-1-0,170.2,Featherweight,175.3,Orthodox,1994-08-19,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Askar Askarov,Record: 14-1-1,167.6,Flyweight,170.2,Orthodox,1992-10-09,3.05,54%,2.80,57%,2.60,24%,66%,0.4
Askar Mozharov,Record: 19-13-0,190.5,Lightheavyweight,188.0,Orthodox,1994-10-26,0.43,18%,4.07,13%,0.00,0%,33%,0.0
Aspen Ladd,Record: 9-3-0,167.6,Bantamweight,167.6,Orthodox,1995-03-01,3.78,47%,4.65,47%,1.56,47%,62%,0.6
Assu Almabayev,Record: 17-2-0,,Flyweight,,,1994-01-25,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Assuerio Silva,Record: 16-8-0 (1 NC),177.8,Heavyweight,,Orthodox,1974-06-18,1.42,46%,4.20,54%,2.66,34%,25%,1.8
Atsushi Yamamoto,Record: 19-11-3,167.6,Bantamweight,,Orthodox,1980-10-02,1.97,39%,1.27,70%,1.12,33%,100%,0.0
Augusto Mendes,Record: 6-2-0,167.6,Bantamweight,165.1,Orthodox,1983-03-03,2.42,34%,3.91,56%,1.75,33%,80%,0.0
Augusto Montano,Record: 15-3-0,185.4,Welterweight,185.4,Orthodox,1984-10-25,3.46,46%,2.66,56%,0.00,0%,66%,0.0
Augusto Sakai,Record: 16-5-1,190.5,Heavyweight,195.6,Orthodox,1991-05-09,4.60,49%,3.83,48%,0.23,40%,56%,0.0
Aurelijus Kerpe,Record: 11-22-0,,,,Orthodox,,1.26,16%,8.21,31%,0.00,0%,0%,0.0
Austen Lane,Record: 12-3-0,198.1,Heavyweight,203.2,Orthodox,1987-11-09,4.17,45%,1.81,58%,0.00,0%,0%,0.0
Austin Arnett,Record: 16-6-0,182.9,Featherweight,182.9,Orthodox,1991-10-22,4.52,41%,6.38,62%,0.44,18%,57%,0.2
Austin Hubbard,Record: 13-6-0,177.8,Lightweight,180.3,Orthodox,1991-12-22,3.67,47%,2.97,58%,1.35,61%,63%,0.0
Austin Lingo,Record: 9-2-0,177.8,Featherweight,177.8,Orthodox,1994-07-10,4.21,40%,4.36,58%,0.55,66%,78%,0.0
Austin Springer,Record: 12-4-0,172.7,Featherweight,180.3,Orthodox,1987-05-12,3.54,57%,3.15,41%,3.37,40%,100%,0.8
Austin Tweedy,Record: 8-2-0,175.3,Lightweight,,Orthodox,1990-09-25,4.29,66%,6.43,0%,0.00,0%,0%,0.0
Austin Vanderford,Record: 4-0-0,180.3,Welterweight,,Orthodox,1990-03-21,3.90,52%,5.19,45%,0.00,0%,100%,1.9
Azamat Gashimov,Record: 8-3-0,167.6,Flyweight,,Orthodox,1990-04-07,1.24,21%,4.75,53%,1.69,25%,0%,0.0
Azamat Murzakanov,Record: 13-0-0,177.8,Lightheavyweight,180.3,Southpaw,1989-04-12,4.57,57%,3.12,57%,0.75,16%,83%,0.0
Azat Maksum,Record: 16-0-0,,Flyweight,,,1995-02-02,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Azunna Anyanwu,Record: 14-5-0,185.4,Heavyweight,,Orthodox,1981-08-05,2.47,42%,2.47,69%,0.65,100%,0%,0.0
BJ Penn,Record: 16-14-2,175.3,Lightweight,177.8,Orthodox,1978-12-13,2.76,48%,3.20,56%,1.19,55%,74%,0.5
Baergeng Jieleyisi,Record: 12-4-0,175.3,Bantamweight,180.3,Orthodox,1995-11-24,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Bahatebole Batebolati,Record: 8-1-1,180.3,Lightweight,180.3,Southpaw,1997-09-12,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Balajin,Record: 23-4-0,175.3,Featherweight,182.9,Orthodox,1992-03-31,1.40,33%,2.73,50%,2.00,20%,66%,0.0
Bao Quach,Record: 19-10-1,160.0,Featherweight,,Orthodox,1979-09-04,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Barb Honchak,Record: 10-4-0,162.6,Flyweight,165.1,Orthodox,1979-08-30,4.04,30%,4.67,66%,0.00,0%,0%,1.3
Bart Palaszewski,Record: 36-17-0,175.3,Featherweight,177.8,Orthodox,1983-05-30,2.67,32%,3.97,57%,0.65,31%,53%,0.5
Bartosz Fabinski,Record: 15-5-0,182.9,Welterweight,190.5,Orthodox,1986-04-26,2.23,68%,1.46,51%,7.10,70%,80%,0.0
Baru Harn,Record: 1-2-0,,Heavyweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Bas Rutten,Record: 28-4-1,185.4,Lightheavyweight,,Orthodox,1965-02-24,5.59,61%,2.06,79%,0.00,0%,0%,0.0
Batgerel Danaa,Record: 12-5-0,170.2,Bantamweight,177.8,Orthodox,1989-07-04,5.38,36%,4.21,47%,0.52,50%,62%,0.0
Bazigit Atajev,Record: 17-1-0,185.4,Heavyweight,,Orthodox,,0.87,41%,3.14,49%,1.00,33%,0%,0.0
Bea Malecki,Record: 4-1-0,175.3,Bantamweight,188.0,Orthodox,1991-08-23,6.84,46%,6.96,62%,0.00,0%,78%,1.1
Bec Rawlings,Record: 7-8-0,167.6,Flyweight,162.6,Orthodox,1989-02-11,4.48,42%,5.66,57%,0.71,40%,68%,0.4
Belal Muhammad,Record: 23-3-0 (1 NC),180.3,Welterweight,182.9,Orthodox,1988-07-09,4.55,43%,3.64,57%,1.98,35%,93%,0.2
Ben Alloway,Record: 18-8-0,180.3,Welterweight,193.0,Orthodox,1981-02-19,1.28,49%,1.90,59%,0.62,50%,26%,0.0
Ben Askren,Record: 19-2-0 (1 NC),180.3,Welterweight,185.4,Orthodox,1984-07-18,3.64,49%,5.66,36%,4.33,55%,0%,0.9
Ben Earwood,Record: 12-3-0,172.7,Welterweight,,Orthodox,,0.50,55%,0.20,33%,3.00,100%,0%,0.0
Ben Holscher,Record: 4-0-0,180.3,Lightweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ben Jones,Record: 4-4-0 (1 NC),,Middleweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ben Lagman,Record: 6-5-0,188.0,Middleweight,,,1986-09-04,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ben Nguyen,Record: 16-8-0,165.1,Flyweight,165.1,Switch,1988-08-03,3.51,40%,3.01,59%,0.25,33%,63%,1.0
Ben Reiter,Record: 17-2-1,190.5,Middleweight,,,1987-06-27,1.80,46%,1.53,54%,7.00,43%,0%,0.0
Ben Rothwell,Record: 39-14-0,193.0,Heavyweight,198.1,Orthodox,1981-10-17,3.71,42%,4.63,47%,0.68,34%,70%,0.4
Ben Saunders,Record: 22-13-2,188.0,Welterweight,195.6,Orthodox,1983-04-13,3.23,50%,3.58,51%,0.20,40%,66%,1.3
Ben Sosoli,Record: 7-3-0 (2 NC),182.9,Heavyweight,182.9,Southpaw,1989-12-10,2.31,31%,4.30,47%,0.00,0%,0%,0.0
Ben Wall,Record: 8-7-1,177.8,Lightweight,,Orthodox,1989-03-25,1.47,29%,8.53,29%,0.00,0%,100%,0.0
Bendy Casimir,Record: 20-14-2,165.1,Featherweight,,Southpaw,1980-06-10,0.74,27%,3.42,54%,0.00,0%,100%,0.0
Beneil Dariush,Record: 22-5-1,177.8,Lightweight,182.9,Southpaw,1989-05-06,3.79,49%,2.63,58%,1.91,34%,80%,0.9
Benito Lopez,Record: 10-2-0,177.8,Bantamweight,185.4,Switch,1994-04-06,4.39,45%,5.18,56%,0.00,0%,73%,0.3
Benji Radach,Record: 21-7-0 (1 NC),177.8,Middleweight,,Orthodox,1979-04-05,2.62,49%,2.31,51%,1.06,41%,71%,0.4
Benoit Saint Denis,Record: 10-1-0 (1 NC),180.3,Lightweight,185.4,Southpaw,1995-12-18,4.37,52%,6.72,41%,3.36,30%,85%,1.1
Benson Henderson,Record: 24-7-0,175.3,Welterweight,177.8,Southpaw,1983-11-16,2.93,45%,1.79,63%,2.40,45%,63%,0.8
Bentley Syler,Record: 5-1-0,162.6,Flyweight,,Orthodox,1982-12-22,1.30,18%,1.73,79%,0.00,0%,75%,0.0
Bernardo Magalhaes,Record: 13-4-0,175.3,Lightweight,,Orthodox,1981-04-08,1.80,27%,3.37,68%,0.00,0%,0%,0.5
Bertrand Amoussou,Record: 1-1-0,172.7,Middleweight,,Orthodox,,6.75,39%,2.01,83%,0.00,0%,0%,0.0
Besam Yousef,Record: 7-4-0,180.3,Welterweight,,Orthodox,1985-03-25,3.14,53%,3.98,38%,1.33,66%,50%,0.0
Bethe Correia,Record: 11-6-1,165.1,Bantamweight,162.6,Orthodox,1983-06-22,4.37,43%,4.93,56%,0.39,18%,85%,0.0
Bevon Lewis,Record: 7-3-0,190.5,Middleweight,200.7,Orthodox,1991-05-05,3.73,43%,2.67,54%,0.00,0%,66%,0.0
Bharat Kandare,Record: 5-3-0,170.2,Bantamweight,182.9,Orthodox,1987-06-20,0.70,10%,1.88,72%,0.00,0%,0%,0.0
Bibiano Fernandes,Record: 20-3-0,170.2,Bantamweight,,Orthodox,1980-03-30,2.91,40%,2.02,72%,3.97,53%,77%,0.6
Bibulatov Magomed,Record: 14-2-0,165.1,Flyweight,165.1,Orthodox,1988-08-22,3.60,51%,1.83,52%,2.85,40%,75%,0.0
Bill Algeo,Record: 17-7-0,182.9,Featherweight,185.4,Switch,1989-06-09,5.93,53%,4.32,46%,0.87,42%,55%,0.1
Bill Cooper,Record: 2-1-0,,Lightweight,,,1984-05-05,0.00,0%,0.00,0%,0.00,0%,0%,0.0
